Designator,Footprint,Quantity,Value,LCSC Part #
CABLE1,J_Wurth_WR-MM_690368171472,1,14-pin F,
C_3V3_BULK1,C1206,1,22uF 10V,C5672
"C_3V3_BYP1, C_ESPIN_BYP1, C_IN_BYP1",C0603,3,100nF,C14663
C_ESP32_BYP1,C0603,1,1uF,C106214
C_IN_BULK1,C1206,1,10uF 50V,C13585
D_REV1,SMA_L4.3-W2.6-LS5.2-RD,1,Schottky,C2482
D_USB_ESD1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,USB ESD,C7519
F1,FUSE-TH_L7.4-W3.0-P5.10-D0.6-S1.20,1,PTC 0.30A,C18384
J_PWR_IN1,CONN-TH_KF239-5.08-2P,1,24V IN,C976701
J_USB1,USB-C-SMD_TYPE-C16PIN,1,USB-C,C393939
PANEL1,J_Wurth_WR-MM_690357101472,1,14-pin M,
"R_CC1, R_CC2",R0603,2,5k1,C269716
"R_CFG1, R_CFG2, R_CFG3, R_CFG4",R0603,4,10k,C25804
"R_USB_DN1, R_USB_DP1",R0402,2,22R,C114765
SW_BOOT1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,1,BOOT,C318884
SW_RESET1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,1,RESET,C318884
SW_V24_USB1,SW-SMD_MK-12C02-G020,1,V24_USB,C963206
TP_3V3,TestPoint_Pad_D2.0mm,1,3V3,
TP_GND1,TestPoint_Pad_D2.0mm,1,GND,
U1,WIFIM-SMD_18P-L20.0-W18.0-P1.50,1,ESP32-C3-WROOM-02-H4,C2944070
U_24V_3V3,PWRM-TH_YLPTEC_K78XX-1000R3,1,3.3V REG,C5369647
U_3V3_LDO1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,1,3.3V LDO,C82942
