Designator,Mid X,Mid Y,Rotation,Layer
CN1,140.075,-95.055,90.0,top
C_3V3_BULK1,125.0,-94.0,0.0,top
C_3V3_BYP1,119.5,-95.0,0.0,top
C_ESP32_BYP1,106.2,-103.75,0.0,top
C_ESPIN_BYP1,106.0,-91.0,0.0,top
C_IN_BULK1,114.0,-94.5,0.0,top
C_IN_BYP1,125.8,-98.0,180.0,top
D_REV1,130.0,-101.5,0.0,top
D_USB_ESD1,130.55,-108.85,180.0,top
F1,131.5,-93.5,90.0,top
J_USB1,143.405,-109.5,90.0,top
R_CC1,130.5,-112.5,0.0,top
R_CC2,130.5,-114.5,0.0,top
R_CFG1,106.15,-97.25,0.0,top
R_CFG2,106.15,-99.25,0.0,top
R_CFG3,106.15,-101.25,0.0,top
R_CFG4,106.25,-106.0,0.0,top
R_USB_DN1,105.9,-95.25,0.0,top
R_USB_DP1,105.9,-93.25,0.0,top
SW_BOOT1,113.5,-111.5,90.0,top
SW_RESET1,107.175,-111.5,90.0,top
SW_V24_USB1,122.0,-111.0,0.0,top
TP_3V3,120.0,-92.0,0.0,top
TP_GND1,124.0,-102.5,0.0,top
U1,93.265,-103.1,0.0,top
U_24V_3V3,114.5,-102.775,0.0,top
U_3V3_LDO1,137.5,-107.0,180.0,top
